,index,FACS.selection,age,batch,cell,cell_ontology_class,cell_ontology_id,cellid,free_annotation,method,mouse.id,plate,sex,subtissue,tissue,well,n_genes,n_counts,louvain,cluster_names
2104,J19.B001750.3_38_F.1.1-1,nan,3m,1,J19.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2591,1338314,11,11_B cell
2105,J19.MAA000559.3_8_M.1.1-1,nan,3m,1,J19.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1691,318247,0,0_B cell
2106,J2.B000971.3_39_F.1.1-1,nan,3m,1,J2.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1601,515379,1,1_T cell
2107,J2.B001750.3_38_F.1.1-1,nan,3m,1,J2.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1712,213631,0,0_B cell
2108,J2.MAA000508.3_9_M.1.1-1,nan,3m,1,J2.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,3453,733437,4,4_B cell
2109,J2.MAA000559.3_8_M.1.1-1,nan,3m,1,J2.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1538,279527,3,3_B cell
2110,J2.MAA000779.3_11_M.1.1-1,nan,3m,1,J2.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1178,76167,0,0_B cell
2111,J20.B000971.3_39_F.1.1-1,nan,3m,1,J20.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,2266,843718,1,1_T cell
2112,J20.B001750.3_38_F.1.1-1,nan,3m,1,J20.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1787,742373,0,0_B cell
2113,J20.MAA000508.3_9_M.1.1-1,nan,3m,1,J20.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,2380,309840,1,1_T cell
2114,J20.MAA000559.3_8_M.1.1-1,nan,3m,1,J20.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1292,175845,0,0_B cell
2115,J20.MAA000779.3_11_M.1.1-1,nan,3m,1,J20.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1995,498129,1,1_T cell
2116,J21.MAA000559.3_8_M.1.1-1,nan,3m,1,J21.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1591,400696,7,7_B cell
2117,J21.MAA000779.3_11_M.1.1-1,nan,3m,1,J21.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1208,298479,1,1_T cell
2118,J22.B001750.3_38_F.1.1-1,nan,3m,1,J22.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1830,568294,10,10_T cell
2119,J22.MAA000508.3_9_M.1.1-1,nan,3m,1,J22.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,2389,249469,9,9_T cell
2120,J22.MAA000559.3_8_M.1.1-1,nan,3m,1,J22.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,1877,331449,1,1_T cell
2121,J22.MAA000776.3_10_M.1.1-1,nan,3m,1,J22.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2002,445436,2,2_B cell
2122,J22.MAA000779.3_11_M.1.1-1,nan,3m,1,J22.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1373,192871,1,1_T cell
2123,J3.B000971.3_39_F.1.1-1,nan,3m,1,J3.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,2072,1151498,1,1_T cell
2124,J3.B001750.3_38_F.1.1-1,nan,3m,1,J3.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1285,435826,1,1_T cell
