,index,FACS.selection,age,batch,cell,cell_ontology_class,cell_ontology_id,cellid,free_annotation,method,mouse.id,plate,sex,subtissue,tissue,well,n_genes,n_counts,louvain,cluster_names
1544,D22.MAA000508.3_9_M.1.1-1,nan,3m,1,D22.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,2014,214115,2,2_B cell
1545,D22.MAA000559.3_8_M.1.1-1,nan,3m,1,D22.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,1308,298686,1,1_T cell
1546,D22.MAA000776.3_10_M.1.1-1,nan,3m,1,D22.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1881,577084,0,0_B cell
1547,D22.MAA000779.3_11_M.1.1-1,nan,3m,1,D22.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1459,208175,2,2_B cell
1548,D3.B000971.3_39_F.1.1-1,nan,3m,1,D3.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1316,596778,0,0_B cell
1549,D3.B001750.3_38_F.1.1-1,nan,3m,1,D3.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2050,717049,0,0_B cell
1550,D3.MAA000508.3_9_M.1.1-1,nan,3m,1,D3.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1696,264878,0,0_B cell
1551,D3.MAA000559.3_8_M.1.1-1,nan,3m,1,D3.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1477,291994,0,0_B cell
1552,D3.MAA000776.3_10_M.1.1-1,nan,3m,1,D3.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1435,278389,11,11_B cell
1553,D3.MAA000779.3_11_M.1.1-1,nan,3m,1,D3.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1203,246125,0,0_B cell
1554,D4.B000971.3_39_F.1.1-1,nan,3m,1,D4.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1846,1385504,7,7_B cell
1555,D4.B001750.3_38_F.1.1-1,nan,3m,1,D4.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,2327,836699,1,1_T cell
1556,D4.MAA000508.3_9_M.1.1-1,nan,3m,1,D4.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1669,267603,0,0_B cell
1557,D4.MAA000776.3_10_M.1.1-1,nan,3m,1,D4.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1666,284094,4,4_B cell
1558,D4.MAA000779.3_11_M.1.1-1,nan,3m,1,D4.MAA000779.3_11_M.1.1,NK cell,CL:0000623,nan,GZMK NKG7 Tyrobp NK cell,facs,3_11_M,nan,male,NA,Spleen,nan,1209,210398,12,12_NK cell
1559,D5.B000971.3_39_F.1.1-1,nan,3m,1,D5.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1769,718597,0,0_B cell
1560,D5.B001750.3_38_F.1.1-1,nan,3m,1,D5.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2214,623863,2,2_B cell
1561,D5.MAA000508.3_9_M.1.1-1,nan,3m,1,D5.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,2181,316929,5,5_B cell
1562,D5.MAA000559.3_8_M.1.1-1,nan,3m,1,D5.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1831,483924,0,0_B cell
1563,D5.MAA000776.3_10_M.1.1-1,nan,3m,1,D5.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1872,411896,7,7_B cell
1564,D5.MAA000779.3_11_M.1.1-1,nan,3m,1,D5.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1159,172557,1,1_T cell
1565,D6.B000971.3_39_F.1.1-1,nan,3m,1,D6.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1903,833569,4,4_B cell
1566,D6.B001750.3_38_F.1.1-1,nan,3m,1,D6.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1957,735326,1,1_T cell
1567,D6.MAA000776.3_10_M.1.1-1,nan,3m,1,D6.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2608,910260,2,2_B cell
1568,D6.MAA000779.3_11_M.1.1-1,nan,3m,1,D6.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1075,197407,0,0_B cell
1569,D7.B000971.3_39_F.1.1-1,nan,3m,1,D7.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1507,820872,5,5_B cell
1570,D7.B001750.3_38_F.1.1-1,nan,3m,1,D7.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1774,306321,1,1_T cell
1571,D7.MAA000508.3_9_M.1.1-1,nan,3m,1,D7.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,2177,248190,1,1_T cell
1572,D7.MAA000559.3_8_M.1.1-1,nan,3m,1,D7.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1429,286966,3,3_B cell
1573,D7.MAA000776.3_10_M.1.1-1,nan,3m,1,D7.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1708,279139,5,5_B cell
1574,D7.MAA000779.3_11_M.1.1-1,nan,3m,1,D7.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1272,185576,3,3_B cell
1575,D8.B000971.3_39_F.1.1-1,nan,3m,1,D8.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,2703,2967985,5,5_B cell
1576,D8.B001750.3_38_F.1.1-1,nan,3m,1,D8.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,2045,579884,1,1_T cell
1577,D8.MAA000559.3_8_M.1.1-1,nan,3m,1,D8.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1684,327656,3,3_B cell
1579,D8.MAA000779.3_11_M.1.1-1,nan,3m,1,D8.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,2085,323648,3,3_B cell
1580,D9.B000971.3_39_F.1.1-1,nan,3m,1,D9.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1784,967600,4,4_B cell
1581,D9.B001750.3_38_F.1.1-1,nan,3m,1,D9.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2196,668040,5,5_B cell
1582,D9.MAA000559.3_8_M.1.1-1,nan,3m,1,D9.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1495,250199,3,3_B cell
1583,D9.MAA000779.3_11_M.1.1-1,nan,3m,1,D9.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1393,231178,7,7_B cell
1584,E1.B000971.3_39_F.1.1-1,nan,3m,1,E1.B000971.3_39_F.1.1,NK cell,CL:0000623,nan,GZMK NKG7 Tyrobp NK cell,facs,3_39_F,nan,female,NA,Spleen,nan,2667,422687,12,12_NK cell
1585,E1.B001750.3_38_F.1.1-1,nan,3m,1,E1.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1216,139275,0,0_B cell
1586,E1.MAA000508.3_9_M.1.1-1,nan,3m,1,E1.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1544,206175,5,5_B cell
1587,E1.MAA000776.3_10_M.1.1-1,nan,3m,1,E1.MAA000776.3_10_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_10_M,nan,male,NA,Spleen,nan,2509,614811,1,1_T cell
1588,E1.MAA000779.3_11_M.1.1-1,nan,3m,1,E1.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1389,237345,9,9_T cell
1589,E10.B000971.3_39_F.1.1-1,nan,3m,1,E10.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1599,656169,10,10_T cell
1590,E10.MAA000559.3_8_M.1.1-1,nan,3m,1,E10.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,1971,379747,10,10_T cell
1591,E10.MAA000779.3_11_M.1.1-1,nan,3m,1,E10.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1234,195493,0,0_B cell
1592,E11.B000971.3_39_F.1.1-1,nan,3m,1,E11.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1929,1364026,5,5_B cell
1593,E11.B001750.3_38_F.1.1-1,nan,3m,1,E11.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2016,1584646,7,7_B cell
1594,E11.MAA000559.3_8_M.1.1-1,nan,3m,1,E11.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1260,331169,0,0_B cell
1595,E11.MAA000776.3_10_M.1.1-1,nan,3m,1,E11.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2559,463065,3,3_B cell
1596,E11.MAA000779.3_11_M.1.1-1,nan,3m,1,E11.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1205,182197,0,0_B cell
1597,E12.B000971.3_39_F.1.1-1,nan,3m,1,E12.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,2551,1574550,5,5_B cell
1599,E12.MAA000559.3_8_M.1.1-1,nan,3m,1,E12.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,2295,730819,3,3_B cell
1600,E12.MAA000779.3_11_M.1.1-1,nan,3m,1,E12.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1133,207643,3,3_B cell
1601,E13.B000971.3_39_F.1.1-1,nan,3m,1,E13.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1704,832983,1,1_T cell
1602,E13.B001750.3_38_F.1.1-1,nan,3m,1,E13.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,2108,740117,1,1_T cell
1603,E13.MAA000779.3_11_M.1.1-1,nan,3m,1,E13.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,2364,331666,2,2_B cell
1604,E14.B000971.3_39_F.1.1-1,nan,3m,1,E14.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,2150,1068451,7,7_B cell
1605,E14.B001750.3_38_F.1.1-1,nan,3m,1,E14.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2395,1005781,5,5_B cell
1606,E14.MAA000559.3_8_M.1.1-1,nan,3m,1,E14.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1504,304263,7,7_B cell
1607,E14.MAA000779.3_11_M.1.1-1,nan,3m,1,E14.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1483,251648,1,1_T cell
1608,E15.B000971.3_39_F.1.1-1,nan,3m,1,E15.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1601,1308747,1,1_T cell
1609,E15.MAA000559.3_8_M.1.1-1,nan,3m,1,E15.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1572,417213,0,0_B cell
1610,E15.MAA000776.3_10_M.1.1-1,nan,3m,1,E15.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2228,475149,2,2_B cell
1611,E16.B000971.3_39_F.1.1-1,nan,3m,1,E16.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,3549,2372773,2,2_B cell
1612,E16.B001750.3_38_F.1.1-1,nan,3m,1,E16.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2125,401204,2,2_B cell
1613,E16.MAA000559.3_8_M.1.1-1,nan,3m,1,E16.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1383,376281,3,3_B cell
1615,E16.MAA000779.3_11_M.1.1-1,nan,3m,1,E16.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1743,235517,5,5_B cell
1618,E17.MAA000776.3_10_M.1.1-1,nan,3m,1,E17.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1532,317192,0,0_B cell
1619,E17.MAA000779.3_11_M.1.1-1,nan,3m,1,E17.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1329,187023,0,0_B cell
1620,E18.B000971.3_39_F.1.1-1,nan,3m,1,E18.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1829,726950,3,3_B cell
1621,E18.B001750.3_38_F.1.1-1,nan,3m,1,E18.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1856,455561,0,0_B cell
1622,E18.MAA000559.3_8_M.1.1-1,nan,3m,1,E18.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,2112,564501,7,7_B cell
1623,E18.MAA000776.3_10_M.1.1-1,nan,3m,1,E18.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1343,421752,3,3_B cell
1624,E18.MAA000779.3_11_M.1.1-1,nan,3m,1,E18.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1380,234477,11,11_B cell
1625,E19.B001750.3_38_F.1.1-1,nan,3m,1,E19.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1741,421004,1,1_T cell
1626,E19.MAA000559.3_8_M.1.1-1,nan,3m,1,E19.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1485,343156,4,4_B cell
1627,E19.MAA000776.3_10_M.1.1-1,nan,3m,1,E19.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2964,908208,2,2_B cell
1628,E19.MAA000779.3_11_M.1.1-1,nan,3m,1,E19.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1355,211577,1,1_T cell
1629,E2.B000971.3_39_F.1.1-1,nan,3m,1,E2.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1505,546337,0,0_B cell
1630,E2.B001750.3_38_F.1.1-1,nan,3m,1,E2.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,2300,860412,9,9_T cell
1631,E2.MAA000508.3_9_M.1.1-1,nan,3m,1,E2.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,2314,347943,0,0_B cell
1632,E2.MAA000559.3_8_M.1.1-1,nan,3m,1,E2.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1489,403450,3,3_B cell
1633,E2.MAA000776.3_10_M.1.1-1,nan,3m,1,E2.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2923,911462,2,2_B cell
1634,E2.MAA000779.3_11_M.1.1-1,nan,3m,1,E2.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1271,239481,3,3_B cell
1635,E20.B000971.3_39_F.1.1-1,nan,3m,1,E20.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,2184,1815305,11,11_B cell
1636,E20.B001750.3_38_F.1.1-1,nan,3m,1,E20.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1790,300340,5,5_B cell
1637,E20.MAA000559.3_8_M.1.1-1,nan,3m,1,E20.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,2104,751105,1,1_T cell
1638,E20.MAA000776.3_10_M.1.1-1,nan,3m,1,E20.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1410,385666,0,0_B cell
1639,E21.B000971.3_39_F.1.1-1,nan,3m,1,E21.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1974,895602,7,7_B cell
1640,E21.B001750.3_38_F.1.1-1,nan,3m,1,E21.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1908,436981,5,5_B cell
1641,E21.MAA000559.3_8_M.1.1-1,nan,3m,1,E21.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1414,287453,0,0_B cell
1642,E21.MAA000776.3_10_M.1.1-1,nan,3m,1,E21.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2264,711092,0,0_B cell
1643,E21.MAA000779.3_11_M.1.1-1,nan,3m,1,E21.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1056,155861,3,3_B cell
1644,E22.B000971.3_39_F.1.1-1,nan,3m,1,E22.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1688,864653,0,0_B cell
1645,E22.MAA000508.3_9_M.1.1-1,nan,3m,1,E22.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,2327,345015,3,3_B cell
1646,E22.MAA000559.3_8_M.1.1-1,nan,3m,1,E22.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1512,357862,0,0_B cell
1647,E22.MAA000776.3_10_M.1.1-1,nan,3m,1,E22.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1976,951049,3,3_B cell
1648,E22.MAA000779.3_11_M.1.1-1,nan,3m,1,E22.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,2252,332213,2,2_B cell
1649,E3.B001750.3_38_F.1.1-1,nan,3m,1,E3.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1825,267593,0,0_B cell
1650,E3.MAA000508.3_9_M.1.1-1,nan,3m,1,E3.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1615,200960,0,0_B cell
1651,E3.MAA000559.3_8_M.1.1-1,nan,3m,1,E3.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1346,584154,0,0_B cell
1652,E3.MAA000779.3_11_M.1.1-1,nan,3m,1,E3.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1247,178300,0,0_B cell
1653,E4.B000971.3_39_F.1.1-1,nan,3m,1,E4.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1601,845861,4,4_B cell
1654,E4.MAA000508.3_9_M.1.1-1,nan,3m,1,E4.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1954,250190,0,0_B cell
1655,E4.MAA000559.3_8_M.1.1-1,nan,3m,1,E4.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,2529,920081,1,1_T cell
1656,E4.MAA000776.3_10_M.1.1-1,nan,3m,1,E4.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,3132,753933,7,7_B cell
1657,E5.B000971.3_39_F.1.1-1,nan,3m,1,E5.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,2135,1337917,0,0_B cell
1658,E5.MAA000508.3_9_M.1.1-1,nan,3m,1,E5.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,2195,284361,9,9_T cell
1659,E5.MAA000559.3_8_M.1.1-1,nan,3m,1,E5.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1703,400331,0,0_B cell
1660,E5.MAA000776.3_10_M.1.1-1,nan,3m,1,E5.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1422,297678,3,3_B cell
1661,E5.MAA000779.3_11_M.1.1-1,nan,3m,1,E5.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,873,76481,0,0_B cell
1662,E6.B000971.3_39_F.1.1-1,nan,3m,1,E6.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1582,878517,9,9_T cell
1663,E6.MAA000508.3_9_M.1.1-1,nan,3m,1,E6.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,2529,353178,1,1_T cell
1664,E6.MAA000779.3_11_M.1.1-1,nan,3m,1,E6.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,992,145757,0,0_B cell
1665,E7.B000971.3_39_F.1.1-1,nan,3m,1,E7.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,2048,1834880,1,1_T cell
1666,E7.B001750.3_38_F.1.1-1,nan,3m,1,E7.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2307,633082,0,0_B cell
1667,E7.MAA000559.3_8_M.1.1-1,nan,3m,1,E7.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,2237,848892,2,2_B cell
1668,E7.MAA000779.3_11_M.1.1-1,nan,3m,1,E7.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1074,173349,0,0_B cell
1669,E8.B000971.3_39_F.1.1-1,nan,3m,1,E8.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,2017,1621679,10,10_T cell
1670,E8.B001750.3_38_F.1.1-1,nan,3m,1,E8.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1924,313127,4,4_B cell
1671,E8.MAA000508.3_9_M.1.1-1,nan,3m,1,E8.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,2295,307993,4,4_B cell
1672,E8.MAA000559.3_8_M.1.1-1,nan,3m,1,E8.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1407,406605,0,0_B cell
1673,E8.MAA000779.3_11_M.1.1-1,nan,3m,1,E8.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1512,225819,3,3_B cell
