chi_squared	pval
130.0	2.064415285073342e-30
131.0	1.2473428827447606e-30
132.0	7.536805272485182e-31
133.0	4.554085697333152e-31
134.0	2.751866612593381e-31
135.0	1.6628981612988925e-31
136.0	1.0048837937767078e-31
137.0	6.07264329931026e-32
138.0	3.6698749944411217e-32
139.0	2.2178704439966989e-32
140.0	1.3403935049991298e-32
141.0	8.10101684654443e-33
142.0	4.896183415371264e-33
143.0	2.9592836250154723e-33
144.0	1.7886531130525583e-33
145.0	1.0811255392047554e-33
146.0	6.53486257472465e-34
147.0	3.9500898883702105e-34
148.0	2.3877428171290013e-34
149.0	1.4433711813115189e-34
150.0	8.725258320102913e-35
151.0	5.274583944545085e-35
152.0	3.188655839802722e-35
153.0	1.9276868501801335e-35
154.0	1.1653988866394618e-35
155.0	7.045663041578827e-36
156.0	4.2596918030242717e-36
157.0	2.5753924027081106e-36
158.0	1.5571033963537207e-36
159.0	9.414563571725282e-37
160.0	5.692349042607525e-37
161.0	3.4418452074248027e-37
162.0	2.0811315078461242e-37
163.0	1.2583921154058787e-37
164.0	7.609228497611625e-38
165.0	4.601223579273569e-38
166.0	2.7823645017354086e-38
167.0	1.682529127395911e-38
168.0	1.017463749697902e-38
169.0	6.152944428466773e-39
170.0	3.7209569321803415e-39
171.0	2.2502657386562104e-39
172.0	1.3608817770888889e-39
173.0	8.230274677700407e-40
174.0	4.977548680156631e-40
175.0	3.0103977099844905e-40
176.0	1.8207039081555e-40
177.0	1.1011887964304949e-40
178.0	6.660259877290205e-41
179.0	4.028352069733259e-41
180.0	2.436522588420317e-41
181.0	1.4737376073603537e-41
182.0	8.914079820614277e-42
183.0	5.391870175761339e-42
184.0	3.261435688703063e-42
185.0	1.9728071150702083e-42
186.0	1.193347085319267e-42
187.0	7.218637023042699e-43
188.0	4.3666646692897e-43
189.0	2.6415000538529e-43
190.0	1.5979290217960878e-43
191.0	9.66652459856337e-44
192.0	5.847755266741955e-44
193.0	3.5376422142906584e-44
194.0	2.1401511962722802e-44
195.0	1.2947346610964635e-44
196.0	7.832903995635582e-45
197.0	4.738822974042077e-45
198.0	2.8669740517000104e-45
199.0	1.7345330455534422e-45
200.0	1.0494140578386045e-45
201.0	6.34916488759849e-46
202.0	3.84141925442126e-46
203.0	2.3241927047983277e-46
204.0	1.4062347572167644e-46
205.0	8.508416481968685e-47
206.0	5.148074458053775e-47
207.0	3.114913680320146e-47
208.0	1.8847436136393835e-47
209.0	1.1404166881389233e-47
210.0	6.900488216749627e-48
211.0	4.175427982266591e-48
212.0	2.526545091918331e-48
213.0	1.5288255827112583e-48
214.0	9.251105112341373e-49
215.0	5.598014657522749e-49
216.0	3.3874987583313116e-49
217.0	2.0498822382277322e-49
218.0	1.2404615053508114e-49
219.0	7.506582119450968e-50
220.0	4.54261275548546e-50
221.0	2.748993282979646e-50
222.0	1.6635891811034727e-50
223.0	1.006752929665012e-50
224.0	6.092619883587857e-51
225.0	3.6871396998962976e-51
226.0	2.231410083002153e-51
227.0	1.350434241029865e-51
228.0	8.172815696633089e-52
229.0	4.946228172202857e-52
230.0	2.9935101079914276e-52
231.0	1.8117214075812798e-52
232.0	1.096493780424848e-52
233.0	6.636284002779832e-53
234.0	4.0164998440360094e-53
235.0	2.430941518315593e-53
236.0	1.4713134319197448e-53
237.0	8.905120228682419e-54
238.0	5.38986938418807e-54
239.0	3.262274699070485e-54
240.0	1.974543094047759e-54
241.0	1.1951336519057033e-54
242.0	7.233859552237761e-55
243.0	4.378520403058178e-55
244.0	2.65025925906256e-55
245.0	1.6041796047235456e-55
246.0	9.710044901012793e-56
247.0	5.877505905220167e-56
248.0	3.5576930010243673e-56
249.0	2.153512491881422e-56
250.0	1.3035563921149285e-56
251.0	7.890703527688198e-57
252.0	4.7764482372176467e-57
253.0	2.891331212099059e-57
254.0	1.7502254950464125e-57
255.0	1.0594818786264263e-57
256.0	6.413519204949296e-58
257.0	3.882420572478617e-58
258.0	2.3502391007706062e-58
259.0	1.422737495646192e-58
260.0	8.612728248024025e-59
261.0	5.213866701994844e-59
262.0	3.1563291834844008e-59
263.0	1.910767392135081e-59
264.0	1.1567419641618586e-59
265.0	7.002744428578797e-60
266.0	4.2393878848749335e-60
267.0	2.5664990098950796e-60
268.0	1.5537534063517567e-60
269.0	9.406457764553632e-61
270.0	5.694729852884914e-61
271.0	3.447649618909749e-61
272.0	2.087257714891279e-61
273.0	1.2636650162856387e-61
274.0	7.650516632605943e-62
275.0	4.6318283566485834e-62
276.0	2.804251895741998e-62
277.0	1.6977918234331516e-62
278.0	1.027909034812087e-62
279.0	6.223400331760582e-63
280.0	3.7679365742475124e-63
281.0	2.2812989388230497e-63
282.0	1.3812222422192725e-63
283.0	8.362721978302432e-64
284.0	5.0633093908819146e-64
285.0	3.06565983951877e-64
